ρ,α,tmax,difference
0.5,0.25,10,3.01454
1,0,10,3.07114
0.25,0.25,10,3.15395
0,0.25,10,3.15575
0.5,0.75,10,3.1802
0.75,0,10,3.19162
0.25,0,10,3.26303
0.25,0.5,10,3.30202
0.5,0,10,3.32748
0,0,10,3.39
0.75,0.75,10,3.41011
0,0.5,10,3.54294
1,0.25,10,3.71525
1,0.5,10,3.76616
0.25,0.75,10,3.92031
0,0.75,10,4.67282
0.5,1,10,4.73122
0.25,1,10,5.1201
1,0.75,10,5.16749
1,1,10,5.7608
0,1,10,6.27101
0.75,1,10,6.30263
